TrueClass	PredClass	SimilarityRank	Count
night_stand	dresser	1	20
table	desk	1	16
flower_pot	plant	1	13
plant	flower_pot	1	10
vase	cup	3	8
dresser	night_stand	1	7
tv_stand	bookshelf	1	4
flower_pot	vase	2	4
cup	vase	2	4
glass_box	night_stand	5	4
vase	bowl	5	3
tv_stand	bench	2	3
desk	table	1	3
wardrobe	xbox	1	2
door	curtain	1	2
glass_box	tv_stand	2	2
piano	table	17	2
table	bench	3	2
wardrobe	bookshelf	2	2
night_stand	table	2	2
chair	stool	1	2
bottle	vase	1	2
stool	chair	2	2
wardrobe	monitor	12	1
desk	dresser	15	1
bed	radio	37	1
dresser	desk	8	1
tv_stand	monitor	19	1
vase	bottle	2	1
stool	vase	20	1
dresser	bottle	9	1
night_stand	desk	5	1
mantel	wardrobe	12	1
tent	sink	33	1
sink	bookshelf	13	1
night_stand	glass_box	6	1
cone	bottle	5	1
tv_stand	desk	10	1
bathtub	bed	8	1
tv_stand	bowl	14	1
bathtub	bowl	1	1
door	laptop	3	1
lamp	flower_pot	7	1
piano	stairs	15	1
range_hood	toilet	23	1
mantel	xbox	22	1
bench	tv_stand	1	1
vase	flower_pot	1	1
person	plant	1	1
mantel	bookshelf	14	1
range_hood	mantel	1	1
lamp	bottle	6	1
sink	toilet	7	1
bench	stairs	10	1
range_hood	car	2	1
radio	glass_box	1	1
tv_stand	dresser	8	1
bench	sofa	12	1
curtain	monitor	7	1
range_hood	keyboard	7	1
cup	bowl	4	1
bench	chair	5	1
radio	xbox	2	1
glass_box	curtain	13	1
piano	mantel	5	1
bench	desk	9	1
xbox	wardrobe	1	1
plant	keyboard	12	1
monitor	laptop	5	1
flower_pot	cup	3	1
glass_box	radio	1	1
plant	vase	16	1
night_stand	radio	7	1
desk	sofa	3	1
radio	bottle	10	1
flower_pot	bowl	4	1
dresser	xbox	2	1
stairs	car	4	1
tv_stand	glass_box	4	1
desk	night_stand	2	1
wardrobe	dresser	3	1
piano	keyboard	19	1
